tag,sensor,valor_bruto,timestamp,status
MTR-001,corrente,4020,2026-05-07 20:00,Normal
MTR-001,corrente,4050,2026-05-07 20:01,Normal
MTR-001,corrente,4090,2026-05-07 20:02,Normal
MTR-001,corrente,4300,2026-05-07 20:03,Alerta
MTR-001,corrente,4520,2026-05-07 20:04,Crítico
MTR-001,tensao,2210,2026-05-07 20:00,Normal
MTR-001,tensao,2205,2026-05-07 20:01,Normal
MTR-001,tensao,2190,2026-05-07 20:02,Normal
MTR-001,tensao,2150,2026-05-07 20:03,Alerta
MTR-001,tensao,2100,2026-05-07 20:04,Crítico
MTR-001,rpm,5180,2026-05-07 20:00,Normal
MTR-001,rpm,5200,2026-05-07 20:01,Normal
MTR-001,rpm,5220,2026-05-07 20:02,Normal
MTR-001,rpm,5000,2026-05-07 20:03,Alerta
MTR-001,rpm,4700,2026-05-07 20:04,Crítico
MTR-001,vibracao,730,2026-05-07 20:00,Normal
MTR-001,vibracao,760,2026-05-07 20:01,Normal
MTR-001,vibracao,820,2026-05-07 20:02,Alerta
MTR-001,vibracao,950,2026-05-07 20:03,Alerta
MTR-001,vibracao,1150,2026-05-07 20:04,Crítico
MTR-002,corrente,3680,2026-05-07 20:00,Normal
MTR-002,corrente,3700,2026-05-07 20:01,Normal
MTR-002,corrente,3720,2026-05-07 20:02,Normal
MTR-002,corrente,3900,2026-05-07 20:03,Alerta
MTR-002,corrente,4150,2026-05-07 20:04,Crítico
MTR-002,tensao,3790,2026-05-07 20:00,Normal
MTR-002,tensao,3800,2026-05-07 20:01,Normal
MTR-002,tensao,3785,2026-05-07 20:02,Normal
MTR-002,tensao,3740,2026-05-07 20:03,Alerta
MTR-002,tensao,3690,2026-05-07 20:04,Crítico
MTR-002,rpm,5300,2026-05-07 20:00,Normal
MTR-002,rpm,5320,2026-05-07 20:01,Normal
MTR-002,rpm,5290,2026-05-07 20:02,Normal
MTR-002,rpm,5100,2026-05-07 20:03,Alerta
MTR-002,rpm,4850,2026-05-07 20:04,Crítico
MTR-002,vibracao,520,2026-05-07 20:00,Normal
MTR-002,vibracao,560,2026-05-07 20:01,Normal
MTR-002,vibracao,650,2026-05-07 20:02,Normal
MTR-002,vibracao,830,2026-05-07 20:03,Alerta
MTR-002,vibracao,980,2026-05-07 20:04,Crítico
